sciezka, koszt, czas, blad

gr17.tsp, 2178.0, 0.04, 4.46% 
gr21.tsp, 2958.0, 0.07, 9.27% 
gr24.tsp, 1278.0, 0.11, 0.47% 
gr48.tsp, 5504.0, 0.94, 9.08% 
gr96.tsp, 60618.0, 8.24, 9.8% 
gr120.tsp, 8144.0, 18.16, 17.31%
gr137.tsp, 79604.0, 25.78, 13.96% 
gr202.tsp, 46180.0, 104.83, 14.99% 
gr229.tsp, 153881.0, 150.71, 14.32% 
gr431.tsp, 196001.0, 1346.2, 14.34% 


 

#QAS
gr24.tsp, 1278.0, 0.11, 0.47% 
gr48.tsp, 5515.0, 0.88, 9.29% 
gr96.tsp, 61133.0, 8.47, 10.73% 
gr120.tsp, 8093.0, 18.52, 16.58% 

#DAS
gr24.tsp, 1278.0, 0.12, 0.47% 
gr48.tsp, 5444.0, 0.94, 7.89% 
gr96.tsp, 60013.0, 9.01, 8.7% 
gr120.tsp, 7939.0, 18.74, 14.36% 


#roznica 24:
gr24.tsp, 1395.0, 0.11, 9.67% 
gr24.tsp, 1345.0, 0.1, 5.74% 
gr24.tsp, 1346.0, 0.11, 5.82% 
gr24.tsp, 1307.0, 0.11, 2.75% 
gr24.tsp, 1330.0, 0.11, 4.56% 
gr24.tsp, 1353.0, 0.1, 6.37% 
gr24.tsp, 1305.0, 0.11, 2.59% 

#roznica 48:
gr48.tsp, 5654.0, 0.86, 12.05% 
gr48.tsp, 5676.0, 0.85, 12.49% 
gr48.tsp, 5455.0, 0.86, 8.11% 
gr48.tsp, 5502.0, 0.86, 9.04% 
gr48.tsp, 5405.0, 0.87, 8.72% 
gr48.tsp, 5486.0, 0.85, 7.11%
gr48.tsp, 5442.0, 0.86, 7.85% 

#roznica 96:


gr96.tsp, 64869.0, 8.35, 17.5% 
gr96.tsp, 60939.0, 9.14, 10.38% 
gr96.tsp, 61919.0, 9.24, 12.15% 
gr96.tsp, 62307.0, 9.37, 12.86% 
gr96.tsp, 62893.0, 9.13, 13.92% 
gr96.tsp, 62357.0, 9.49, 12.95% 
gr96.tsp, 62071.0, 9.08, 12.43% 


gr96.tsp, 65486.0, 8.18, 18.61% 


gr96.tsp, 64395.0, 8.22, 16.64% 


gr96.tsp, 61899.0, 8.75, 12.12% 


gr96.tsp, 60808.0, 9.0, 10.14% 


gr96.tsp, 61725.0, 9.0, 11.8% 


gr96.tsp, 60382.0, 9.19, 9.37% 


gr96.tsp, 61868.0, 9.06, 12.06% 
