#########################
NUMBER OF NODES: 6

Time no.0:     0.00046690000090165995  [s]
Time no.1:     0.0005697999986296054  [s]
Time no.2:     0.0005793999989691656  [s]
Time no.3:     0.0005445999995572492  [s]
Time no.4:     0.000522300000739051  [s]
Time no.5:     0.0006196999984240392  [s]
Time no.6:     0.0005399999990913784  [s]
Time no.7:     0.0006938999995327322  [s]
Time no.8:     0.0007105000004230533  [s]
Time no.9:     0.000709100000676699  [s]

#########################
NUMBER OF NODES: 10

Time no.0:     1.8710814000005485  [s]
Time no.1:     1.6046687999987626  [s]
Time no.2:     1.4790657000012288  [s]
Time no.3:     1.6027233999993769  [s]
Time no.4:     1.843846300000223  [s]
Time no.5:     1.640452900001037  [s]
Time no.6:     1.6054382000002079  [s]
Time no.7:     1.6141055999996752  [s]
Time no.8:     1.5563856000007945  [s]
Time no.9:     1.6393332000006922  [s]
